date,Positive,Negative
2017-01-14,45.36290322580645,92.13709677419355
2017-01-15,45.67901234567901,89.84910836762688
2017-01-16,47.98464491362764,91.36276391554703
2017-01-17,44.30512016718913,91.95402298850574
2017-01-18,42.70711785297549,90.89848308051342
2017-01-19,39.6551724137931,93.29501915708812
2017-01-20,46.330275229357795,92.88990825688074
2017-01-21,44.42793462109955,90.93610698365528
2017-01-22,44.81030780243378,92.62705798138869
2017-01-23,46.516007532956685,89.92467043314501
2017-01-24,45.72748267898383,93.0715935334873
2017-01-25,45.189189189189186,90.16216216216216
2017-01-26,45.94320486815416,91.37931034482759
2017-01-27,51.536312849162016,91.4804469273743
2017-01-28,45.40094339622642,92.21698113207547
2017-01-29,47.67199444058374,92.0778318276581
2017-01-30,46.62629757785467,92.47404844290658
2017-01-31,46.215943491422806,92.53279515640767
2017-02-01,47.92490118577075,91.20553359683794
2017-02-02,42.07717569786536,92.36453201970444
2017-02-03,44.3342776203966,92.91784702549575
2017-02-04,45.27972027972028,93.88111888111888
2017-02-05,43.865546218487395,93.10924369747899
2017-02-06,45.17412935323383,93.53233830845771
2017-02-07,45.123879810226676,91.46020031628888
2017-02-08,44.72843450479233,92.81150159744409
2017-02-09,44.28152492668622,91.39784946236558
2017-02-10,45.97315436241611,94.12751677852349
2017-02-11,46.42857142857143,91.72932330827066
2017-02-12,46.53465346534654,92.07920792079209
2017-02-13,44.293785310734464,91.07344632768361
2017-02-14,44.78021978021978,92.03296703296702
2017-02-15,42.90322580645161,93.2258064516129
2017-02-16,45.43404735062006,91.5445321307779
2017-02-17,45.724137931034484,92.41379310344827
2017-02-18,45.57235421166307,92.44060475161987
2017-02-19,45.79172610556348,93.72325249643366
2017-02-20,46.79695982627579,93.59391965255158
2017-02-21,45.78005115089514,91.38959931798807
2017-02-22,45.30612244897959,91.12244897959184
2017-02-23,45.714285714285715,90.91836734693878
2017-02-24,43.90243902439025,92.90465631929047
2017-02-25,42.42819843342037,92.2976501305483
2017-02-26,48.497854077253216,93.34763948497854
2017-02-27,47.62550881953867,90.63772048846675
2017-02-28,45.06708760852407,93.0544593528019
2017-03-01,45.75936883629191,92.50493096646942
