comment_score,Positive,Negative
157,0.3225806451612903,0.9032258064516129
2261,0.0,1.0
-15,0.4564459930313589,0.8780487804878049
124,0.5111111111111111,0.9333333333333333
363,0.75,1.0
181,0.42105263157894735,0.9473684210526315
843,0.5,1.0
586,0.3333333333333333,1.0
-101,0.5,1.0
1592,1.0,1.0
1323,0.5,1.0
5706,0.0,1.0
1149,0.0,1.0
7070,0.0,1.0
-88,0.5,1.0
2373,1.0,1.0
852,0.0,1.0
1785,0.0,1.0
-112,1.0,1.0
227,0.2222222222222222,1.0
95,0.42857142857142855,0.9642857142857143
925,0.0,1.0
699,0.6,1.0
-71,0.45454545454545453,0.9090909090909091
268,0.45454545454545453,0.9090909090909091
-149,1.0,0.0
562,0.5,1.0
1833,0.0,1.0
369,0.5,1.0
455,0.4,0.8
912,0.0,1.0
413,0.3333333333333333,1.0
760,0.0,0.5
5441,1.0,1.0
1395,0.0,1.0
915,0.0,1.0
71,0.48854961832061067,0.916030534351145
143,0.3902439024390244,0.9512195121951219
370,0.5555555555555556,1.0
1960,0.5,1.0
642,1.0,1.0
704,0.3333333333333333,0.6666666666666666
703,1.0,1.0
790,0.6666666666666666,1.0
3884,1.0,1.0
161,0.3333333333333333,0.8333333333333334
-45,0.41935483870967744,0.8709677419354839
193,0.38461538461538464,0.8461538461538461
1934,0.0,1.0
365,0.5,0.5
443,0.42857142857142855,1.0
6,0.4520761529624159,0.9209748892171344
68,0.4732824427480916,0.9312977099236641
1012,1.0,1.0
342,0.5555555555555556,1.0
466,0.5,1.0
713,1.0,1.0
1520,0.5,1.0
87,0.4883720930232558,0.8953488372093024
72,0.4112903225806452,0.9516129032258065
215,0.35,0.9
58,0.39344262295081966,0.9180327868852459
883,1.0,1.0
258,0.4444444444444444,0.8888888888888888
255,0.5714285714285714,0.7142857142857143
-133,1.0,0.0
320,0.3333333333333333,1.0
665,0.3333333333333333,1.0
-119,1.0,1.0
854,0.0,1.0
107,0.34545454545454546,0.8545454545454545
271,0.46153846153846156,0.9230769230769231
266,0.4,1.0
221,0.3333333333333333,0.8666666666666667
1124,0.0,0.5
997,0.0,1.0
1150,1.0,1.0
9,0.43612060926328877,0.921510724277277
407,0.14285714285714285,0.8571428571428571
316,0.45454545454545453,0.9090909090909091
3174,0.0,1.0
1476,1.0,1.0
-96,1.0,0.3333333333333333
744,1.0,1.0
920,1.0,0.0
554,0.5,1.0
789,0.0,1.0
4053,0.0,1.0
27,0.44882860665844637,0.9260172626387176
63,0.43125,0.9375
-24,0.42857142857142855,0.8968253968253969
796,0.5,0.5
158,0.3870967741935484,0.9354838709677419
397,0.5,1.0
447,0.5,0.75
2255,0.5,1.0
856,0.5,1.0
2760,0.5,0.5
389,1.0,1.0
959,0.0,1.0
754,0.0,1.0
56,0.44549763033175355,0.919431279620853
51,0.5170940170940171,0.8931623931623932
1267,1.0,1.0
178,0.23076923076923078,0.8846153846153846
353,0.5,0.8333333333333334
1698,0.0,1.0
2444,1.0,1.0
702,1.0,1.0
9725,0.0,1.0
239,0.5555555555555556,1.0
234,0.4666666666666667,1.0
-198,1.0,1.0
610,1.0,0.75
341,0.6,1.0
891,0.0,1.0
-136,0.0,1.0
150,0.4375,0.90625
279,0.4666666666666667,1.0
574,1.0,1.0
1426,1.0,1.0
146,0.64,0.92
52,0.4675324675324675,0.9090909090909091
346,0.5,1.0
546,0.6666666666666666,0.6666666666666666
608,1.0,1.0
2714,0.5,1.0
1307,1.0,1.0
2415,0.0,1.0
-47,0.3684210526315789,0.9473684210526315
446,0.5714285714285714,0.8571428571428571
459,0.3333333333333333,1.0
3809,0.0,1.0
-77,0.25,1.0
577,0.3333333333333333,0.6666666666666666
3216,1.0,1.0
861,1.0,1.0
585,0.0,1.0
1103,0.0,1.0
1236,0.0,1.0
174,0.5714285714285714,0.9047619047619048
825,0.0,0.0
712,1.0,1.0
2419,0.0,0.0
17,0.4450363196125908,0.9220338983050848
79,0.45454545454545453,0.9752066115702479
170,0.38095238095238093,0.9523809523809523
209,0.125,1.0
-86,0.4,0.6
1346,0.0,0.0
-82,0.8333333333333334,1.0
