comment_score,Positive,Negative
68,47.32824427480916,93.12977099236642
1012,100.0,100.0
342,55.55555555555556,100.0
466,50.0,100.0
713,100.0,100.0
1520,50.0,100.0
87,48.837209302325576,89.53488372093024
72,41.12903225806452,95.16129032258065
215,35.0,90.0
58,39.34426229508197,91.80327868852459
883,100.0,100.0
258,44.44444444444444,88.88888888888889
255,57.14285714285714,71.42857142857143
-133,100.0,0.0
320,33.33333333333333,100.0
665,33.33333333333333,100.0
-119,100.0,100.0
854,0.0,100.0
107,34.54545454545455,85.45454545454545
271,46.15384615384615,92.3076923076923
266,40.0,100.0
221,33.33333333333333,86.66666666666667
1124,0.0,50.0
997,0.0,100.0
1150,100.0,100.0
9,43.61206092632888,92.1510724277277
407,14.285714285714285,85.71428571428571
316,45.45454545454545,90.9090909090909
3174,0.0,100.0
1476,100.0,100.0
-96,100.0,33.33333333333333
744,100.0,100.0
920,100.0,0.0
554,50.0,100.0
789,0.0,100.0
4053,0.0,100.0
27,44.88286066584464,92.60172626387177
63,43.125,93.75
-24,42.857142857142854,89.68253968253968
796,50.0,50.0
158,38.70967741935484,93.54838709677419
397,50.0,100.0
447,50.0,75.0
2255,50.0,100.0
856,50.0,100.0
2760,50.0,50.0
389,100.0,100.0
959,0.0,100.0
754,0.0,100.0
56,44.54976303317535,91.9431279620853
51,51.70940170940172,89.31623931623932
1267,100.0,100.0
178,23.076923076923077,88.46153846153845
353,50.0,83.33333333333334
1698,0.0,100.0
2444,100.0,100.0
702,100.0,100.0
9725,0.0,100.0
239,55.55555555555556,100.0
234,46.666666666666664,100.0
-198,100.0,100.0
610,100.0,75.0
341,60.0,100.0
891,0.0,100.0
-136,0.0,100.0
150,43.75,90.625
279,46.666666666666664,100.0
574,100.0,100.0
1426,100.0,100.0
146,64.0,92.0
52,46.75324675324675,90.9090909090909
346,50.0,100.0
546,66.66666666666666,66.66666666666666
608,100.0,100.0
2714,50.0,100.0
1307,100.0,100.0
2415,0.0,100.0
-47,36.84210526315789,94.73684210526315
446,57.14285714285714,85.71428571428571
459,33.33333333333333,100.0
3809,0.0,100.0
-77,25.0,100.0
577,33.33333333333333,66.66666666666666
3216,100.0,100.0
861,100.0,100.0
585,0.0,100.0
1103,0.0,100.0
1236,0.0,100.0
174,57.14285714285714,90.47619047619048
825,0.0,0.0
712,100.0,100.0
2419,0.0,0.0
17,44.50363196125908,92.20338983050847
79,45.45454545454545,97.52066115702479
170,38.095238095238095,95.23809523809523
209,12.5,100.0
-86,40.0,60.0
1346,0.0,0.0
-82,83.33333333333334,100.0
236,50.0,100.0
253,54.54545454545454,100.0
-36,60.46511627906976,83.72093023255815
103,45.16129032258064,93.54838709677419
675,0.0,100.0
738,0.0,100.0
-16,47.85992217898833,89.88326848249028
276,40.0,100.0
509,100.0,100.0
592,0.0,100.0
246,60.0,90.0
139,51.21951219512195,87.8048780487805
-55,33.33333333333333,100.0
1781,0.0,100.0
1770,100.0,100.0
1190,100.0,100.0
430,50.0,75.0
242,25.0,100.0
817,50.0,100.0
1230,0.0,100.0
226,40.0,80.0
453,60.0,100.0
726,50.0,100.0
41,44.08866995073892,94.08866995073892
1085,100.0,100.0
499,0.0,100.0
1114,100.0,100.0
1473,100.0,100.0
33,40.97087378640777,91.2621359223301
28,44.23305588585018,93.57907253269917
88,48.80952380952381,89.28571428571429
248,38.88888888888889,94.44444444444444
257,60.0,100.0
519,66.66666666666666,66.66666666666666
384,40.0,100.0
405,20.0,100.0
208,80.0,90.0
-164,100.0,100.0
1595,100.0,100.0
1673,100.0,0.0
671,100.0,100.0
138,47.61904761904761,90.47619047619048
207,53.333333333333336,93.33333333333333
498,50.0,100.0
511,33.33333333333333,100.0
1358,100.0,0.0
637,0.0,100.0
833,100.0,100.0
649,50.0,100.0
-115,100.0,100.0
865,33.33333333333333,100.0
462,33.33333333333333,100.0
307,60.0,100.0
304,42.857142857142854,100.0
235,37.5,100.0
769,50.0,100.0
-18,45.19230769230769,89.42307692307693
114,23.52941176470588,92.15686274509804
742,50.0,50.0
714,66.66666666666666,100.0
928,0.0,100.0
646,0.0,100.0
678,0.0,100.0
434,100.0,100.0
1963,100.0,100.0
599,50.0,100.0
-123,0.0,100.0
5,44.21194952356425,91.72031934071595
-217,0.0,100.0
1083,0.0,100.0
1,50.61435672489859,92.45158394797232
